angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.09,"[662, 248, 332, 397]",0.0,0.16,0.05,0.59,0.09,0.02
0.05,"[666, 262, 323, 389]",0.01,0.16,0.08,0.52,0.08,0.1
0.05,"[664, 261, 325, 391]",0.01,0.13,0.05,0.67,0.06,0.03
0.03,"[663, 263, 326, 392]",0.0,0.09,0.08,0.7,0.07,0.03
0.04,"[660, 262, 329, 395]",0.0,0.14,0.05,0.65,0.09,0.03
0.06,"[666, 259, 326, 386]",0.01,0.1,0.01,0.7,0.12,0.01
0.07,"[667, 258, 327, 387]",0.01,0.09,0.04,0.69,0.09,0.02
0.05,"[664, 261, 326, 390]",0.0,0.15,0.05,0.63,0.07,0.04
0.02,"[662, 256, 327, 392]",0.0,0.03,0.03,0.85,0.05,0.01
0.02,"[662, 257, 327, 387]",0.0,0.02,0.01,0.89,0.05,0.01
0.04,"[664, 256, 328, 388]",0.0,0.03,0.01,0.81,0.07,0.03
0.03,"[662, 255, 331, 389]",0.0,0.02,0.01,0.86,0.04,0.03
0.03,"[662, 254, 333, 393]",0.0,0.04,0.01,0.82,0.07,0.03
0.07,"[662, 252, 332, 394]",0.0,0.04,0.04,0.74,0.07,0.03
0.03,"[661, 250, 333, 398]",0.0,0.03,0.1,0.74,0.05,0.04
0.05,"[665, 250, 330, 401]",0.01,0.06,0.07,0.73,0.05,0.03
0.05,"[665, 251, 332, 403]",0.0,0.04,0.03,0.81,0.06,0.01
0.04,"[665, 253, 331, 398]",0.0,0.04,0.05,0.79,0.05,0.02
0.04,"[667, 248, 331, 403]",0.0,0.05,0.08,0.76,0.05,0.03
0.05,"[663, 248, 333, 401]",0.0,0.05,0.06,0.68,0.06,0.1
0.06,"[660, 251, 334, 396]",0.0,0.07,0.12,0.6,0.09,0.06
0.05,"[663, 250, 335, 398]",0.01,0.03,0.16,0.64,0.05,0.07
0.07,"[664, 251, 335, 399]",0.0,0.09,0.05,0.66,0.1,0.03
0.09,"[668, 251, 334, 396]",0.01,0.1,0.11,0.51,0.12,0.06
0.06,"[668, 251, 334, 393]",0.01,0.03,0.03,0.72,0.09,0.04
0.11,"[667, 248, 344, 400]",0.01,0.05,0.05,0.63,0.09,0.07
0.12,"[668, 246, 347, 404]",0.01,0.09,0.05,0.56,0.15,0.03
0.1,"[671, 250, 340, 396]",0.01,0.04,0.04,0.69,0.08,0.04
0.08,"[669, 251, 340, 394]",0.01,0.04,0.07,0.68,0.1,0.03
0.1,"[669, 249, 343, 399]",0.0,0.05,0.06,0.62,0.11,0.05
0.06,"[672, 253, 337, 391]",0.01,0.04,0.08,0.69,0.07,0.05
0.05,"[672, 254, 335, 389]",0.02,0.02,0.11,0.7,0.07,0.03
0.07,"[667, 251, 344, 398]",0.02,0.08,0.11,0.51,0.13,0.08
0.07,"[672, 257, 335, 390]",0.01,0.08,0.15,0.54,0.12,0.03
0.06,"[674, 258, 329, 385]",0.01,0.03,0.06,0.73,0.09,0.03
0.07,"[673, 256, 334, 390]",0.01,0.08,0.08,0.59,0.14,0.04
0.06,"[675, 258, 330, 386]",0.02,0.04,0.12,0.62,0.11,0.03
0.08,"[673, 256, 333, 390]",0.01,0.07,0.12,0.58,0.13,0.02
0.06,"[672, 253, 334, 392]",0.01,0.06,0.06,0.64,0.13,0.05
0.08,"[673, 254, 333, 391]",0.01,0.08,0.06,0.56,0.15,0.06
0.06,"[672, 256, 331, 393]",0.01,0.08,0.04,0.67,0.12,0.01
0.06,"[671, 258, 335, 397]",0.01,0.12,0.06,0.62,0.11,0.02
0.07,"[672, 258, 331, 393]",0.01,0.1,0.03,0.65,0.12,0.01
0.1,"[672, 257, 333, 394]",0.01,0.11,0.03,0.59,0.14,0.03
0.06,"[672, 257, 331, 389]",0.01,0.08,0.06,0.67,0.09,0.02
0.07,"[671, 255, 333, 393]",0.01,0.06,0.03,0.72,0.09,0.01
0.05,"[673, 255, 331, 392]",0.0,0.05,0.04,0.77,0.06,0.02
0.06,"[673, 258, 330, 388]",0.01,0.05,0.05,0.73,0.09,0.02
0.05,"[672, 256, 331, 389]",0.0,0.05,0.06,0.72,0.07,0.03
0.08,"[669, 257, 335, 390]",0.01,0.09,0.07,0.62,0.11,0.02
0.07,"[669, 258, 334, 391]",0.01,0.11,0.04,0.66,0.1,0.02
0.08,"[668, 259, 332, 389]",0.01,0.12,0.05,0.58,0.11,0.04
0.09,"[667, 257, 334, 395]",0.0,0.1,0.04,0.65,0.1,0.02
0.04,"[665, 256, 334, 394]",0.0,0.07,0.04,0.72,0.1,0.02
0.03,"[667, 259, 330, 388]",0.0,0.05,0.07,0.77,0.06,0.03
0.08,"[663, 256, 344, 397]",0.0,0.11,0.1,0.59,0.09,0.03
0.08,"[662, 254, 348, 403]",0.0,0.12,0.07,0.61,0.08,0.04
0.07,"[664, 257, 337, 393]",0.0,0.08,0.13,0.61,0.07,0.04
0.06,"[660, 250, 348, 407]",0.0,0.1,0.27,0.44,0.09,0.03
0.07,"[664, 256, 339, 396]",0.0,0.12,0.13,0.55,0.1,0.04
0.06,"[663, 256, 341, 398]",0.0,0.08,0.07,0.69,0.09,0.02
0.07,"[661, 255, 345, 403]",0.0,0.05,0.05,0.7,0.1,0.02
0.06,"[660, 255, 342, 400]",0.0,0.07,0.05,0.72,0.07,0.02
0.1,"[661, 256, 339, 399]",0.0,0.1,0.04,0.64,0.09,0.03
0.05,"[661, 256, 336, 398]",0.0,0.05,0.04,0.78,0.06,0.01
0.04,"[664, 254, 331, 396]",0.0,0.07,0.1,0.69,0.06,0.04
0.06,"[666, 251, 330, 397]",0.0,0.05,0.04,0.71,0.08,0.06
0.03,"[666, 253, 333, 392]",0.0,0.02,0.02,0.84,0.05,0.04
0.07,"[665, 254, 338, 400]",0.0,0.04,0.04,0.74,0.09,0.02
0.08,"[669, 254, 335, 398]",0.0,0.07,0.03,0.71,0.07,0.04
0.05,"[670, 255, 333, 396]",0.0,0.04,0.02,0.8,0.06,0.03
0.07,"[671, 253, 336, 399]",0.0,0.04,0.04,0.74,0.09,0.02
0.09,"[672, 250, 335, 406]",0.0,0.07,0.02,0.69,0.1,0.02
0.05,"[673, 254, 331, 404]",0.0,0.1,0.1,0.64,0.08,0.02
0.03,"[672, 254, 334, 405]",0.0,0.08,0.04,0.74,0.08,0.02
0.06,"[673, 252, 335, 404]",0.0,0.06,0.02,0.76,0.09,0.01
0.06,"[669, 251, 336, 407]",0.0,0.08,0.06,0.67,0.09,0.03
0.05,"[672, 248, 334, 403]",0.0,0.04,0.02,0.78,0.08,0.03
0.06,"[671, 246, 336, 405]",0.0,0.06,0.03,0.73,0.08,0.04
0.06,"[670, 248, 334, 404]",0.0,0.04,0.02,0.78,0.08,0.03
0.06,"[670, 246, 332, 403]",0.0,0.04,0.03,0.75,0.08,0.05
0.04,"[668, 247, 333, 404]",0.0,0.05,0.03,0.73,0.08,0.06
0.08,"[668, 247, 335, 404]",0.0,0.05,0.04,0.7,0.08,0.05
0.07,"[669, 247, 333, 402]",0.0,0.04,0.03,0.74,0.07,0.05
0.11,"[668, 248, 336, 410]",0.0,0.1,0.03,0.6,0.14,0.02
0.1,"[669, 247, 338, 411]",0.0,0.1,0.02,0.63,0.14,0.02
0.07,"[670, 245, 337, 413]",0.0,0.07,0.03,0.69,0.11,0.03
0.11,"[671, 245, 338, 416]",0.0,0.08,0.02,0.65,0.13,0.01
0.12,"[670, 246, 341, 415]",0.0,0.11,0.03,0.58,0.13,0.03
0.06,"[675, 250, 335, 406]",0.01,0.08,0.04,0.69,0.09,0.03
0.05,"[678, 254, 332, 399]",0.0,0.06,0.03,0.78,0.06,0.01
0.1,"[678, 255, 334, 404]",0.01,0.27,0.07,0.41,0.11,0.04
0.04,"[679, 258, 319, 396]",0.0,0.08,0.06,0.65,0.14,0.02
0.08,"[679, 254, 327, 404]",0.0,0.1,0.03,0.58,0.18,0.02
0.08,"[680, 256, 329, 399]",0.0,0.13,0.05,0.49,0.23,0.02
0.06,"[680, 259, 327, 396]",0.0,0.16,0.08,0.41,0.27,0.01
0.07,"[682, 261, 325, 393]",0.0,0.13,0.24,0.4,0.12,0.03
0.05,"[682, 262, 327, 395]",0.0,0.18,0.17,0.46,0.11,0.03
0.07,"[683, 257, 328, 404]",0.0,0.24,0.07,0.45,0.16,0.02
0.09,"[680, 254, 327, 400]",0.0,0.1,0.07,0.54,0.16,0.03
0.08,"[683, 257, 322, 394]",0.0,0.09,0.03,0.64,0.13,0.02
0.06,"[683, 262, 322, 391]",0.0,0.11,0.18,0.51,0.11,0.03
0.05,"[683, 261, 323, 393]",0.0,0.16,0.19,0.43,0.11,0.06
0.06,"[678, 256, 335, 396]",0.0,0.09,0.06,0.67,0.08,0.03
0.03,"[675, 255, 333, 399]",0.0,0.04,0.14,0.73,0.04,0.02
0.05,"[676, 256, 327, 394]",0.01,0.06,0.08,0.72,0.05,0.03
0.05,"[676, 256, 334, 399]",0.0,0.05,0.16,0.68,0.04,0.02
0.06,"[679, 260, 331, 393]",0.0,0.06,0.12,0.67,0.07,0.02
0.05,"[676, 259, 330, 392]",0.01,0.05,0.07,0.73,0.06,0.02
0.04,"[675, 257, 330, 393]",0.0,0.04,0.05,0.79,0.05,0.03
0.06,"[676, 257, 327, 389]",0.01,0.05,0.09,0.65,0.1,0.04
0.06,"[675, 259, 328, 387]",0.0,0.04,0.06,0.73,0.06,0.05
0.06,"[677, 259, 332, 390]",0.01,0.06,0.13,0.61,0.12,0.01
0.04,"[674, 257, 330, 390]",0.0,0.03,0.04,0.8,0.04,0.03
0.05,"[678, 258, 328, 387]",0.0,0.02,0.06,0.78,0.06,0.03
0.04,"[677, 256, 328, 388]",0.0,0.03,0.06,0.74,0.06,0.07
0.06,"[678, 255, 332, 394]",0.01,0.04,0.16,0.65,0.05,0.03
